Soil Temperature,N,P,K,Moisture,Humidity,Ambient Temperature
30.6,43,158,219,177,18.7,35.6
30.8,36,153,219,183,20.8,35.8
30.8,37,154,214,177,24.3,35.8
30.5,37,153,216,167,21.5,35.5
30.6,35,153,214,162,22.5,35.6
31,33,68,96,189,25.4,36
31.5,51,144,209,167,24.4,36.5
31.8,28,147,199,157,18.2,36.8
31.8,29,149,206,157,22,36.8
32.2,29,147,201,138,14.6,37.2
32,30,147,206,152,14.6,37
31.8,30,145,204,152,21,36.8
32,31,153,209,152,20.9,37
32.3,31,147,204,152,20,37.3
32.6,29,144,201,162,20,37.6
33,30,149,206,172,17.7,38
32.9,30,144,206,147,34.5,37.9
33.1,29,141,199,152,20,38.1
33.3,29,149,199,143,34.3,38.3
33,29,142,199,152,21.9,38
33.1,29,145,209,147,20,38.1
33.2,31,147,201,152,25.2,38.2
33.4,30,142,195,134,25.1,38.4
33.7,29,149,201,157,28.6,38.7
33.9,31,144,199,152,34.1,38.9
33.8,31,142,206,157,20,38.8
33.6,30,147,204,152,34.2,38.6
33.4,30,145,199,138,17.6,38.4
33.3,31,144,204,143,19.2,38.3
33.3,30,145,204,152,22.4,38.3
32.9,29,147,204,147,14.3,37.9
32.4,30,142,199,138,20,37.4
32.1,31,144,204,157,22.9,37.1
32.1,30,141,195,134,14.6,37.1
32.3,31,142,199,143,22.3,37.3
32.2,30,141,197,134,22.4,37.2
32.1,30,136,190,121,14.6,37.1
32,31,141,195,134,19.7,37
32,29,141,204,138,20,37
31.9,31,141,197,138,14.7,36.9
32,31,141,204,152,21.9,37
32.1,30,141,199,143,18.1,37.1
31.8,29,136,190,125,23,36.8
31.3,29,142,197,134,20.6,36.3
31.2,30,139,197,134,20.7,36.2
30.6,31,139,193,134,18.7,35.6
30.5,30,141,195,134,22.5,35.5
30.1,30,142,195,143,18.9,35.1
30.3,29,142,195,138,22.6,35.3
30.6,31,141,193,134,22.5,35.6
30.6,29,136,197,138,15.2,35.6
30.7,30,134,184,113,20,35.7
30.7,31,134,190,130,20,35.7
31,31,134,188,113,20,36
31.3,29,136,186,125,20,36.3
31.7,30,133,186,121,23.1,36.7
32.1,30,131,186,125,20.9,37.1
32.4,29,136,188,117,20.8,37.4
32.2,30,136,190,117,22.9,37.2
32,31,133,188,117,14.6,37
32,29,136,195,134,20.9,37
32.1,30,134,188,113,25,37.1
32.2,31,131,182,113,23.4,37.2
32.1,30,133,186,125,23.8,37.1
32.1,30,131,184,113,23.8,37.1
32,30,130,182,109,19.7,37
32,30,134,193,130,25,37
32.1,29,133,186,121,25,37.1
32.2,31,137,186,117,27,37.2
31.9,29,134,188,130,21,36.9
31.7,31,136,188,121,21.1,36.7
31.4,28,134,186,117,22.7,36.4
31.6,31,134,193,121,23.6,36.6
31.3,29,127,186,117,20,36.3
31.3,30,136,184,117,20,36.3
31.3,31,133,193,121,26.3,36.3
31.1,31,137,193,125,22.8,36.1
31.1,31,136,190,125,20,36.1
31,29,133,186,121,20.7,36
31,31,139,190,113,18.5,36
31.1,31,136,186,125,25.4,36.1
31.1,31,131,190,125,28.5,36.1
30.7,31,134,180,109,29.9,35.7
30.5,30,137,182,113,25.6,35.5
30.5,31,137,197,134,39.4,35.5
30.5,30,134,190,125,31.3,35.5
30.5,29,131,176,117,32.8,35.5
30.5,29,129,182,109,39.4,35.5
30.5,30,130,184,117,24,35.5
30.4,30,131,182,109,43.1,35.4
30.4,31,133,176,101,26.7,35.4
30.3,29,130,180,101,27.7,35.3
30.5,31,131,188,117,48.9,35.5
30.3,30,127,176,109,77.3,35.3
30.4,29,130,178,105,49,35.4
30.3,31,130,182,109,28.8,35.3
30.2,30,130,180,105,30.1,35.2
30.2,31,127,184,105,20,35.2
30.1,29,127,178,97,25,35.1
30.2,29,124,176,97,39.6,35.2
30,29,127,178,97,24.6,35
30,31,127,178,105,25.8,35
30.2,29,127,178,101,24.2,35.2
30.3,30,129,180,109,27.7,35.3
30.3,31,124,173,86,24.9,35.3
30.5,29,124,176,109,24.8,35.5
30.6,30,126,176,97,27.6,35.6
30.7,29,127,174,97,32.8,35.7
30.7,30,130,180,109,27.6,35.7
30.7,31,127,176,101,23,35.7
31,29,131,176,97,22.8,36
31.2,30,130,180,109,24.6,36.2
31.2,31,126,176,93,20.1,36.2
30.8,30,131,182,109,21.4,35.8
30.6,29,129,178,105,24.8,35.6
30.2,31,124,171,97,24.6,35.2
